"ID","Progress","Finished","society.membership","subdiscipline","subdiscipline_28_TEXT","climate_campus","climate_dept","climate_lab","climate_teach","climate_student","climate.open","gender","gender_10_TEXT","race","race_7_TEXT","lgbtq","sexuality.specific","sexuality.specific_12_TEXT","gender.specific","gender.specific_4_TEXT","college.gen","college.gen_8_TEXT","disability","disability.specific","disability.specific_7_TEXT","job","job_10_TEXT","institution.type","country.reside","residence","immigration","lgbtq.climate_1","lgbtq.climate_2","lgbtq.climate_3","lgbtq.climate_4","lgbtq.climate_5","lgbtq.climate_6","lgbtq.climate2_1","lgbtq.climate2_2","lgbtq.climate2_3","lgbtq.climate2_4","lgbtq.climate2_5","lgbtq.climate2_6","lbtq.climate3_1","lbtq.climate3_2","lbtq.climate3_3","lbtq.climate3_4","lbtq.climate3_5","lbtq.climate3_6","lbtq.climate3_7","lbtq.climate3_8","outness_friends","outness_immediatefam","outness_extendedfam","outness_coworkers","outness_lab","outness_gradcourse","outness_undergrads","outness_broadly","personal_eb_work","other_eb","personal_eb_outside","society_included_lgbtq_open","workplace_included_lgbtq_open","workplace_sob_mean","biology_sob_mean","ascb_sob_mean","bps_sob_mean","gsa_sob_mean","isscr_sob_mean","saber_sob_mean","workplace_fom_mean","biology_fom_mean","ascb_fom_mean","bps_fom_mean","gsa_fom_mean","isscr_fom_mean","saber_fom_mean","lgbtq.discrim_mean","climate_inclusion_mean","climate_exclusion_mean","race2","gender2","gender3","lgbtq2","lgbq","tgnc","job2","region","gender4","genderbin","tgnc_all"
1,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology","","uncomfortable","uncomfortable","very comfortable","comfortable",NA,"","Man","","White","","No","","","","","Master’s degree (for example: MA, MS, MEd, MSW, MBA)","","No","","","An assistant professor","","R1 doctoral university","United Kingdom of Great Britain and Northern Ireland","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",3.66666666666667,6,6.33333333333333,NA,NA,NA,NA,5.33333333333333,6.66666666666667,7.66666666666667,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","outsideUS","cisman","cisman","no"
2,100,"True","American Society of Cell Biology (ASCB)","Cell biology","","neutral","neutral","very comfortable","comfortable",NA,"My campus and department are all about fluff and statements but with little backing of action","Woman","","White","","No","","","","","High school diploma or GED","","No","","","A full professor","","R1 doctoral university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",3.66666666666667,6,10,NA,NA,NA,NA,1,6,10,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty","midwestUS","ciswoman","ciswoman","no"
3,100,"True","American Society of Cell Biology (ASCB)","Genetics","","comfortable","comfortable","comfortable","comfortable",NA,"","Woman","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","R1 doctoral university","United States of America","Southwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",7,7,5,NA,NA,NA,NA,6.66666666666667,6.33333333333333,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty","southwestUS","ciswoman","ciswoman","no"
4,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Genetics,Molecular biology,Molecular genetics","","very comfortable","very comfortable","very comfortable",NA,NA,"","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","Yes","Mental health and/or psychological disability (e.g. bipolar disorder, depression),Physical disability (e.g. cerebral palsy, spina bifida),Chronic health condition (e.g. cancer, diabetes)","","A postdoctoral scholar","","R1 doctoral university","United States of America","Northeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,9.33333333333333,1.33333333333333,NA,NA,NA,NA,7.33333333333333,9.33333333333333,0,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"postdoc","northeastUS","cisman","cisman","no"
5,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Immunology","","neutral","neutral","neutral","neutral","neutral","","Decline to state","","Decline to state","","Decline to state","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","R1 doctoral university","United States of America","Northeastern US","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",3,7,3,NA,NA,NA,NA,3,5.66666666666667,5,NA,NA,NA,NA,NA,NA,NA,NA,"decline",NA,NA,NA,NA,"faculty","northeastUS",NA,NA,NA
6,100,"True","American Society of Cell Biology (ASCB),Biophysical Society (BPS)","Cell biology","","very comfortable","very comfortable","very comfortable","comfortable","comfortable","","Woman","","White","","No","","","","","Bachelor’s degree (for example: BA, BS)","","No","","","Other, please describe","private research institute","I do not work at an academic institution","United States of America","Western US","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,8,8,5,NA,NA,NA,10,8.33333333333333,7.33333333333333,6,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"other","westUS","ciswoman","ciswoman","no"
7,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Cell biology,Microbiology,Neuroscience","","very comfortable","very comfortable","very comfortable","very comfortable",NA,"I am employed in the right place for my background and experience.","Man","","White","","No","","","","","High school diploma or GED","","Yes","Mental health and/or psychological disability (e.g. bipolar disorder, depression),Hearing loss","","A full professor","","Baccalaureate college or university","United States of America","Southeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,9,9,NA,NA,NA,NA,9,9,9,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","southeastUS","cisman","cisman","no"
8,100,"True","American Society of Cell Biology (ASCB)","Biochemistry,Bioinformatics,Cell biology,Molecular biology","","uncomfortable","uncomfortable","very comfortable","very comfortable",NA,"Still systemic issues with diversity and equity, but my group is great.","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","An associate professor","","R1 doctoral university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",5.66666666666667,6.33333333333333,10,NA,NA,NA,NA,7.66666666666667,6.33333333333333,9,NA,NA,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","midwestUS","cisman","cisman","no"
9,100,"True","American Society of Cell Biology (ASCB),Genetics Society of America (GSA)","Cell biology,Developmental biology,Genetics","","very comfortable","very comfortable","very comfortable",NA,NA,"","Man","","White","","No","","","","","Higher than a Master’s degree (for example: PhD, MD, JD)","","No","","","A full professor","","R1 doctoral university","United States of America","Northeastern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",10,9.33333333333333,9,NA,9,NA,NA,10,9.66666666666667,9.66666666666667,NA,9.66666666666667,NA,NA,NA,NA,NA,"white","man","man","no","no",NA,"faculty","northeastUS","cisman","cisman","no"
10,100,"True","American Society of Cell Biology (ASCB)","Cell biology,Immunology","","neutral","neutral",NA,"comfortable",NA,"","Woman","","White","","No","","","","","High school diploma or GED","","Yes","Mental health and/or psychological disability (e.g. bipolar disorder, depression),Chronic health condition (e.g. cancer, diabetes),Other, please describe","chronic migraine","A full professor","","Baccalaureate college or university","United States of America","Midwestern US","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","",0,5,4.66666666666667,NA,NA,NA,NA,0,5,5.66666666666667,NA,NA,NA,NA,NA,NA,NA,"white","woman","woman","no","no",NA,"faculty","midwestUS","ciswoman","ciswoman","no"
