"ID","workplace.belonging_1","workplace.belonging_2","workplace.belonging_3","workplace.belonging_4","workplace.belonging_5","workplace.belonging_6","biology.belonging_1","biology.belonging_2","biology.belonging_3","biology.belonging_4","biology.belonging_5","biology.belonging_6","climate_campus","climate_dept","climate_lab","climate_student","climate_teach","gender","race","lgbtq","lgbtq.discrim._1","lgbtq.discrim._2","lgbtq.discrim._3","lgbtq.discrim._4","lgbtq.climate_1","lgbtq.climate_2","lgbtq.climate_3","lgbtq.climate_4","lgbtq.climate_5","lgbtq.climate_6","lgbtq.climate2_1","lgbtq.climate2_2","lgbtq.climate2_3","lgbtq.climate2_4","lgbtq.climate2_5","lgbtq.climate2_6","lbtq.climate3_1","lbtq.climate3_2","lbtq.climate3_3","lbtq.climate3_4","lbtq.climate3_5","lbtq.climate3_6","lbtq.climate3_7","lbtq.climate3_8","outness_friends","outness_immediatefam","outness_extendedfam","outness_coworkers","outness_lab","outness_gradcourse","outness_undergrads","outness_broadly","personal_eb_work","personal_eb_outside","other_eb","workplace_sob_mean","biology_sob_mean","workplace_fom_mean","biology_fom_mean","lgbtq.discrim_mean","climate_inclusion_mean","climate_exclusion_mean","race2","gender2","lgbtq2","lgbq","tgnc","job2","region"
1,4,4,3,6,6,4,6,6,6,7,7,6,"uncomfortable","uncomfortable","very comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",3.66666666666667,6,5.33333333333333,6.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"faculty","outsideUS"
2,5,1,5,1,1,1,6,6,6,6,6,6,"neutral","neutral","very comfortable",NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",3.66666666666667,6,1,6,NA,NA,NA,"white","woman","no",NA,NA,"faculty","midwestUS"
3,7,7,7,7,7,6,7,7,7,7,7,5,"comfortable","comfortable","comfortable",NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,7,6.66666666666667,6.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"faculty","southwestUS"
4,10,10,10,8,8,6,8,10,10,9,9,10,"very comfortable","very comfortable","very comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,9.33333333333333,7.33333333333333,9.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"postdoc","northeastUS"
5,3,3,3,3,3,3,7,7,7,5,7,5,"neutral","neutral","neutral","neutral","neutral","Decline to state","Decline to state","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",3,7,3,5.66666666666667,NA,NA,NA,NA,"decline",NA,NA,NA,"faculty","northeastUS"
6,10,10,10,10,10,10,8,8,8,10,10,5,"very comfortable","very comfortable","very comfortable","comfortable","comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,8,10,8.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"other","westUS"
7,10,10,10,9,9,9,9,9,9,9,9,9,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,9,9,9,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
8,5,7,5,7,7,9,5,7,7,5,9,5,"uncomfortable","uncomfortable","very comfortable",NA,"very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",5.66666666666667,6.33333333333333,7.66666666666667,6.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"faculty","midwestUS"
9,10,10,10,10,10,10,8,10,10,10,10,9,"very comfortable","very comfortable","very comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,9.33333333333333,10,9.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"faculty","northeastUS"
10,0,0,0,0,0,0,5,5,5,5,5,5,"neutral","neutral",NA,NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",0,5,0,5,NA,NA,NA,"white","woman","no",NA,NA,"faculty","midwestUS"
11,8,8,8,7,6,5,8,8,8,9,9,9,"comfortable","very comfortable","very comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,8,6,9,NA,NA,NA,"white","man","no",NA,NA,"faculty","midwestUS"
12,10,10,10,10,10,8,10,10,10,7,10,8,"uncomfortable","comfortable","comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,10,9.33333333333333,8.33333333333333,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
13,9,10,10,9,9,9,9,9,9,9,9,9,"very comfortable","very comfortable","very comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.66666666666667,9,9,9,NA,NA,NA,"white","man","no",NA,NA,"other","northeastUS"
14,6,6,6,6,6,1,7,7,9,9,7,5,"very uncomfortable","uncomfortable","very comfortable",NA,"very uncomfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",6,7.66666666666667,4.33333333333333,7,NA,NA,NA,"white","man","no",NA,NA,"faculty","northeastUS"
15,8,8,8,7,7,6,8,8,8,8,8,8,"comfortable","comfortable","comfortable",NA,NA,"Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,8,6.66666666666667,8,NA,NA,NA,"white","man","no",NA,NA,"government","northeastUS"
16,4,4,6,6,6,4,8,8,8,8,8,8,"comfortable","uncomfortable","neutral",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",4.66666666666667,8,5.33333333333333,8,NA,NA,NA,"white","woman","no",NA,NA,"faculty","northeastUS"
17,7,6,8,8,8,2,8,8,8,4,6,6,"uncomfortable","uncomfortable","very comfortable",NA,NA,"Woman","White","Yes",5,5,5,6,4,4,4,3,4,4,4,2,3,3,4,4,4,2,2,1,3,2,4,3,"Not out","Out to a few","Not out","Out to a few","Not out","Not out","Not out","Not out","decline","decline","no",7,8,6,5.33333333333333,5.25,3.33333333333333,3,"white","woman","yes","yes","no","postdoc","southwestUS"
